haber_id	legacy_kaynak_id	yayin_tarihi	eski_updated_at	durum
591	570	2024-03-10 20:11:38	2024-03-10 20:11:38	ESIT
848	827	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
461	440	2024-03-10 20:11:23	2024-03-10 20:11:23	ESIT
1026	1005	2024-03-10 20:12:00	2024-03-10 20:12:00	ESIT
326	305	2024-03-10 20:11:19	2024-03-10 20:11:19	ESIT
54	43	2024-03-10 20:11:11	2024-03-10 20:11:11	ESIT
1326	1310	2025-12-30 11:31:24	2025-12-30 11:31:24	ESIT
761	740	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
427	406	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
185	164	2024-03-10 20:11:16	2024-03-10 20:11:16	ESIT
875	854	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
634	613	2024-03-10 20:11:39	2024-03-10 20:11:39	ESIT
438	417	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
290	269	2024-03-10 20:11:17	2024-03-10 20:11:17	ESIT
165	144	2024-03-10 20:11:15	2024-03-10 20:11:15	ESIT
1253	1234	2024-11-12 14:26:18	2024-11-12 14:26:18	ESIT
49	38	2024-03-10 20:11:11	2024-03-10 20:11:11	ESIT
731	710	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1165	1144	2024-03-10 20:12:00	2024-03-10 20:12:00	ESIT
546	525	2024-03-10 20:11:25	2024-03-10 20:11:25	ESIT
1317	1301	2025-10-07 19:07:09	2025-10-07 19:07:09	ESIT
631	610	2024-03-10 20:11:39	2024-03-10 20:11:39	ESIT
242	221	2024-03-10 20:11:17	2024-03-10 20:11:17	ESIT
1003	982	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
452	431	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
988	967	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1002	981	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
282	261	2024-03-10 20:11:17	2024-03-10 20:11:17	ESIT
1320	1304	2025-12-31 22:35:17	2025-12-31 22:35:17	ESIT
775	754	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1286	1270	2025-05-04 14:36:13	2025-05-04 14:36:13	ESIT
239	218	2024-03-10 20:11:17	2024-03-10 20:11:17	ESIT
987	966	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1235	1216	2024-08-20 01:20:15	2024-08-20 01:20:15	ESIT
843	822	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
916	895	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1188	1167	2024-03-10 20:12:00	2024-03-10 20:12:00	ESIT
440	419	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
424	403	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
1027	1006	2024-03-10 20:12:00	2024-03-10 20:12:00	ESIT
954	933	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
989	968	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
681	660	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
1004	983	2024-03-10 20:11:59	2024-03-10 20:11:59	ESIT
302	281	2024-03-10 20:11:18	2024-03-10 20:11:18	ESIT
522	501	2024-03-10 20:11:24	2024-03-10 20:11:24	ESIT
88	7	2024-03-10 20:11:09	2024-03-10 20:11:09	ESIT
672	651	2024-03-10 20:11:51	2024-03-10 20:11:51	ESIT
1114	1093	2024-03-10 20:12:00	2024-03-10 20:12:00	ESIT
458	437	2024-03-10 20:11:22	2024-03-10 20:11:22	ESIT
